#generic
#please comment out the one that stuff
#
#corridor
2,1000,136,316,66,40
2,1000,136,320,42,446
#room1
2,1001,50,673,72,87
#room2
#2,1002,50,575,76,90
#room3
2,1003,50,477,78,93
#room4
2,1004,50,382,78,85
#room5
2,1005,180,633,85,120
#room6
2,1006,182,530,83,96
#room7
2,1007,186,435,79,88
#kitchen
2,1008,215,315,55,52
2,1008,190,364,80,61
#lounge
2,1009,57,230,213,72
2,1009,57,230,73,140
#flight deck
2,1010,50,128,217,92
2,1010,120,93,95,47
#storage room
2,1011,45,764,230,110
2,1011,90,870,140,35
